CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,AGENT_NAME,ATD_TIME,BERTH,NEXT_PORT
ZCDU9,PIANO LAND,PASSENGER,BERMUDA,LEAGUER SHIPPING LIMITED,2025/05/10 18:24,KTCT,"OTHER, JAPAN"
3FAD8,BAI CHAY BRIDGE,CONTAINER,PANAMA,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,2025/05/10 18:43,KC7,"SHEKOU, SHENZHEN"
BVND5,XIN BIN ZHOU,CONTAINER,CHINA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/10 18:59,KC2,"SHEKOU, SHENZHEN"
V7QK4,ULTRA JAGUAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,CONCORD MARINE LIMITED,2025/05/10 20:29,SELA,HONGAI
9V7853,WAN HAI 368,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/10 20:39,WA2,"SHEKOU, SHENZHEN"
V7A2845,STAR FRONTIER,CONTAINER,MARSHALL ISLANDS,NAMSUNG SHIPPING HONG KONG LIMITED,2025/05/10 21:58,KC4,HAIPHONG
5LAR7,MSC SHAHAR,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/10 22:03,KC1,"YANTIAN, SHENZHEN"
BOAM7,ZHONG GU DONG HAI,CONTAINER,CHINA,PENAVICO (HONG KONG) LIMITED,2025/05/10 22:28,KC6,HAIPHONG
OXCQ2,SAN ANTONIO MAERSK,CONTAINER,DENMARK,PENAVICO (HONG KONG) LIMITED,2025/05/10 22:42,KC18,"SHANGHAI, SH"
D5QU4,TORRES STRAIT,CONTAINER,LIBERIA,PENAVICO (HONG KONG) LIMITED,2025/05/10 22:54,KC18,"SHANGHAI, SH"
9V7396,WAN HAI A01,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/10 23:01,KC9,"NINGBO, ZJ"
D5IZ9,SPECTRUM N,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,2025/05/10 23:05,KC10,"SHEKOU, SHENZHEN"
VRTE8,CUL HAIPHONG,CONTAINER,"HONG KONG, CHINA","UNITRANS AGENCY HONG KONG CO., LIMITED",2025/05/11 00:00,SELA,"NANSHA, PANYU"
BORJ2,HONG QING,LIQUIFIED PETROLEUM GAS TANKER,CHINA,INCHCAPE SHIPPING SERVICES (HK) LTD,2025/05/11 00:58,EMTY,TANJUNG BARA
XVOV,SAI GON GAS,LIQUIFIED PETROLEUM GAS TANKER,VIETNAM,BEN LINE AGENCIES (HK) LTD,2025/05/11 01:16,SLA,HAIPHONG
VRBH9,SEASPAN SYDNEY,CONTAINER,"HONG KONG, CHINA",EVERGREEN MARINE (HONG KONG) LTD,2025/05/11 01:25,KC10,"DALIAN, LN"
9VCB4,XH DEEP COVER,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,SINGAPORE,GRANDFAME SHIP MANAGEMENT LTD,2025/05/11 01:58,SELA,NEWCASTLE
DSIJ9,WOO JONG,"TANKER (CRUDE,FUEL,DIESEL,LUB)",REPUBLIC OF KOREA,PENAVICO (HONG KONG) LIMITED,2025/05/11 02:02,SINO,ULSAN
D5BL2,LITO,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,LIBERIA,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,2025/05/11 04:06,SWLA,SAMARINDA
C6EX3,IFESTOS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,BAHAMAS,OCEAN DRAGON AGENCY COMPANY LIMITED,2025/05/11 04:31,SELA,OPEN SEA
V7A2823,TS SINGAPORE,CONTAINER,MARSHALL ISLANDS,CMA CGM ASIA SHIPPING PTE. LTD.,2025/05/11 04:46,KC12,NAN SHA
9WTO8,HARBOUR STAR,CONTAINER,MALAYSIA,HARBOUR-LINK LINES LIMITED ,2025/05/11 05:31,CMTY,KUCHING
5LCT5,AS ANNE,CONTAINER,LIBERIA,OOCL HONG KONG BRANCH,2025/05/11 05:57,KC11,"SHEKOU, SHENZHEN"
TJM5224,HALCYON,CONTAINER,CAMEROON,YIU LIAN DOCKYARDS LTD,2025/05/11 06:01,CMTY,INCHEON
5LCM6,MSC TARA III,CONTAINER,LIBERIA,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,2025/05/11 06:05,KC2,"YANTIAN, SHENZHEN"
9V7865,WAN HAI 373,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/11 06:53,KC7,"DALIAN, LN"
3EVM4,KLARA,CHEMICAL,PANAMA,S5 ASIA LIMITED,2025/05/11 07:29,SLA,BINTULU
9V6499,WAN HAI 328,CONTAINER,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,2025/05/11 07:37,KC8,TOKYO
3FAT7,JIAN RUI 7,GENERAL / HEAVY LIFT CARGO,PANAMA,EVER WIN INTERNATIONAL SHIPPING CO. LIMITED,2025/05/11 08:51,SWLA,"OTHER, JAPAN"
5LFU8,WAN HAI 178,CONTAINER,LIBERIA,HYALINE SHIPPING (HK) CO LTD,2025/05/11 08:56,KC6,"SHEKOU, SHENZHEN"
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,MEGATOP AGENCY LIMITED,2025/05/11 09:28,KC10,"NANSHA, PANYU"
BPPH3,GUO SHUN 28,GENERAL / HEAVY LIFT CARGO,CHINA,CGW LOGISTICS CO LIMITED,2025/05/11 09:49,SWLA,LHOKSOUMAWE
V7IL7,BANASTAR,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED,2025/05/11 10:57,SWLA,BALIKPAPAN
